Scheme Number,Scheme Name,Category,Who Can Apply,Land Requirement,Income / Other Conditions,Key Benefit,Official Portal
19,Rashtriya Gokul Mission,Dairy,Farmers with indigenous cattle and buffalo. Dairy cooperatives,No minimum holding,State implementing agencies select beneficiaries,Conservation and development of indigenous breeds. Free artificial insemination through Gokul Grams. Bull mother farms supported,dahd.gov.in
20,National Beekeeping and Honey Mission (NBHM),Allied Agriculture,Farmers beekeepers SHGs cooperatives women groups,No land requirement,Beginner beekeepers also eligible. Must attend training,Up to 90% subsidy on bee boxes bee colonies and honey extraction equipment. Promotes pollination and additional income,nbhm.da.gov.in
21,GOBARdhan Scheme,Agri Waste,Farmers livestock owners dairy farmers rural households producing organic waste,Must have cattle or livestock producing dung and organic waste,Village clusters selected by state governments. Individual and group applications,Financial support up to Rs 50 lakh for biogas plants. Converts dung to clean fuel and organic manure. Extra income source,sbm.gov.in/gobardhan
22,Namo Drone Didi,Women Empowerment in Agriculture,Women Self-Help Groups (SHGs) selected by state rural livelihood missions,No land requirement for SHG applying,SHG must be active and operational for at least one year. Selected by SRLM,80% subsidy up to Rs 8 lakh for purchasing agricultural drone. SHG members trained as drone pilots and earn income by renting drones to farmers,namodronedidi.gov.in
23,APEDA Export Promotion Scheme,Export,Registered APEDA member exporters of agricultural and processed food products,No land condition. Registration with APEDA mandatory,Must be a valid registered exporter under APEDA,Financial assistance for packaging branding market development and product certification for export of agri products,apeda.gov.in
24,Pradhan Mantri Kisan SAMPADA Yojana,Food Processing,Farmers entrepreneurs and food processing units,No specific land requirement,Must set up or expand food processing facility,Infrastructure development for food processing. Cold chain creation. Mega food parks. Primary processing centres near farms,mofpi.gov.in
25,PM Formalisation of Micro Food Enterprises (PM FME),Food Processing,Micro food processing units run by individual farmers SHGs cooperatives FPOs,One district one product focus. Must operate in identified product category of district,Annual turnover up to Rs 250 crore at enterprise level,35% credit-linked subsidy up to Rs 10 lakh for upgrading micro food processing units. Capacity building and branding support,mofpi.gov.in/pmfme
26,Micro Irrigation Fund (NABARD MIF),Irrigation,Farmers in states that apply to NABARD for micro-irrigation fund,No direct individual eligibility. States access fund and give additional subsidy to farmers,States must apply. Farmers benefit through higher subsidy than PMKSY baseline,Extra subsidy top-up over and above PMKSY subsidy for drip and sprinkler systems in states accessing Rs 5000 crore NABARD fund,nabard.org
27,National Mission on Edible Oils Oil Palm (NMEO-OP),Oilseed Farming,Farmers in 15 identified states suitable for oil palm cultivation,Any size of agricultural land,Must grow oil palm in identified districts of Andhra Pradesh Telangana Karnataka Tamil Nadu and northeastern states,Planting subsidy up to Rs 29000 per hectare. Maintenance assistance. Price assurance mechanism for fresh fruit bunches,nmeo.gov.in
28,National Horticulture Mission (NHM),Horticulture,Farmers growing fruits vegetables flowers spices plantation crops,No minimum area but area-based assistance given,State horticulture departments implement and select beneficiaries,Subsidy on planting material drip systems protected cultivation post-harvest management and market infrastructure for horticulture,nhb.gov.in
29,Mission for Integrated Development of Horticulture (MIDH),Horticulture,Farmers in horticulture sector including individual growers and FPOs,Any landholding size,Implemented through state departments. Individual and group applications,Covers area expansion of fruits vegetables mushrooms spices flowers and plantation crops with subsidies on inputs and infrastructure,nhb.gov.in/midh
30,National Bamboo Mission (NBM),Agro-Forestry,Farmers wishing to plant bamboo on private or non-forest land,Private agricultural land required,Applicable in 23 states. Must plant in non-forest land,Area expansion of bamboo for income generation and value addition. Subsidy on planting material and post-harvest units,nbm.nic.in
31,Operation Greens,Market Stabilization,Farmers FPOs processors and exporters dealing in tomato onion and potato (TOP crops),No direct land condition for processors. Farmers benefit through price stabilization,Activated when prices fall or rise sharply. Transports surplus to deficit regions,Price stabilization for tomato onion potato. Transportation and storage subsidy of 50% to move surplus produce. Expanded to all fruits and vegetables,mofpi.gov.in
32,Gramin Bhandara Yojana,Storage,Farmers cooperative societies SHGs and agri entrepreneurs,No specific land requirement. Must have space to build warehouse,Must get NHB warehouseman license for scientific storage. Warehouse must be in rural area,Capital subsidy of 25% for SC ST cooperatives and NE region farmers and 15% for others for building scientific rural godowns/warehouses,dac.gov.in
33,Market Intervention Scheme (MIS),Price Support,Farmers growing perishable crops like fruits and vegetables,No specific land size,Activated when market price falls below cost of production. State must request GoI activation,Government procures perishable produce at intervention price to prevent distress sale. Price floor protection for non-MSP crops,dac.gov.in
34,Minimum Support Price (MSP) Scheme,Price Support,All farmers growing any of the 23 notified crops,Any farm size for notified crops,Crops must be of fair average quality. Procurement through FCI and NAFED,Government announces MSP for 23 crops before sowing season. Procurement at MSP through official agencies if prices fall below MSP,fci.gov.in / nafed.com
35,Pradhan Mantri Krishi Unnati Yojana,Crop Development,All farmers across India for multiple crop-specific sub-schemes,Varies by sub-scheme. Most have no minimum land requirement,Umbrella scheme covering rice wheat pulses oilseeds cotton and other crops,Combines multiple crop production programmes for food security. Subsidised seeds fertilizer micronutrients and technical assistance,dac.gov.in
36,National Mission for Sustainable Agriculture (NMSA),Climate Resilient Farming,Farmers in rainfed and drought-prone regions,Priority to rainfed farmers in water-stressed districts,Focuses on integrated farming and resource conservation. State-implemented,Climate adaptation for agriculture. Soil health improvement. Water harvesting. Integrated farming system support in rainfed areas,nmsa.dac.gov.in
37,Pashu Kisan Credit Card,Animal Husbandry Credit,Farmers and rural households keeping cattle buffalo goat sheep or poultry,No land requirement. Only livestock ownership required,Must own animals and be engaged in animal husbandry activities,Loan for buffalo Rs 60249. Loan for cow Rs 40783. Loan for pig Rs 16337. Loan for sheep or goat Rs 4063. Loan for poultry Rs 720 per bird. Effective interest 4%,nabard.org
38,Agricultural Technology Management Agency (ATMA),Extension Services,All farmers who want training technology and market information,No land condition,Farmers must be in ATMA-covered blocks. All blocks in all states covered,Free extension services. Farmer field schools. Technology demonstrations. Farmer study tours. Training on new varieties and methods,atma-dac.gov.in
39,Sub-Mission on Seed and Planting Material (SMSP),Seed Development,Farmers who grow certified seed. Seed producers and seed villages,Seed production area defined,Must follow seed production standards and get seeds certified by State Seed Certification Agency,Subsidy on foundation and certified seed production. Infrastructure for seed processing and storage. Capacity building of seed villages,seednet.gov.in
40,National Mission on Agricultural Extension and Technology (NMAET),Technology Transfer,All farmers especially those in remote areas without access to modern technology,No land condition,Delivered through KVKs and state agriculture departments across all districts,Technology demonstration on farmer fields. Mobile apps. Kisan call centres. ICT tools for farm advisory. Linkage to markets,atma-dac.gov.in
41,Rashtriya Krishi Bima Yojana (RKBY),Crop Insurance,Farmers in states that have not adopted PMFBY. Loanee farmers primarily,Applicable in non-PMFBY states,Older scheme. Being phased out as PMFBY expands,Comprehensive crop loss coverage for loanee farmers. Premium partly subsidized by government,agri-insurance.com
42,Kisan Rin Portal (KRP),Digital Credit Access,All KCC holders and farmers seeking crop loans,No new land requirement,Linked to Jan Samarth portal. Aadhaar and land record mandatory,Single portal for interest subvention on crop loans. Tracks loan disbursement and interest relief. Digital integration across banks,kisanrn.gov.in
43,Digital Agriculture Mission (DAM),Digital Infrastructure,All farmers who register in national farmer database (Farmer Registry),Any farm size,Aadhaar-linked digital farmer ID required through Farmer Registry portal,Digital farmer identity. Agri Stack creation. Soil profile mapping. AI-based advisory. Crop planning using satellite data,agristack.gov.in
44,Farmer Producer Organisation (FPO) Promotion Scheme,Collective Farming,Groups of minimum 10 farmers who form and register an FPO,Minimum 10 farmers collectively forming an FPO. In hilly areas minimum 5 farmers,FPO must be registered as company under Companies Act or cooperative,Rs 15 lakh equity grant per FPO. Rs 18 lakh professional management support over 5 years. Rs 2000 crore credit guarantee fund,sfac.in
45,Agri Clinic and Agri Business Centres (ACABC),Agri Entrepreneurship,Agriculture and allied science graduates and diploma holders,No farm land requirement. Academic qualification mandatory,Must have degree or diploma in agriculture horticulture animal husbandry fisheries veterinary or forestry,Training and credit facilitation for setting up agri clinics. Subsidy on bank loans: 36% for individuals and 44% for women and SC ST in NE and hilly states,manage.gov.in/acabc
46,National Horticulture Board (NHB) Capital Investment Subsidy,Horticulture Infrastructure,Individual farmers cooperatives companies setting up cold storage pack-house and pre-cooling units,No minimum land. Commercial scale infrastructure expected,Project cost must meet minimum threshold. Commercial viability assessment required,35% credit-linked subsidy for cold storage pre-cooling packhouse and CA storage projects for fruits and vegetables,nhb.gov.in
47,Beej Gram Yojana,Seed Village,Selected farmers in identified seed villages who produce quality seeds,Farmer must have adequate land to produce seed crop,Farmer selected by state agriculture department for seed production in seed village cluster,Supply of foundation seed at subsidised rate. Training on seed production. Buy-back arrangement for certified seeds produced,seednet.gov.in
48,Niti Aayog Aspirational Districts Agriculture Scheme,Special Area,Farmers living in 112 identified aspirational districts across India,Must live and farm in identified aspirational district,Only for residents of aspirational districts lagging in development indicators,Convergence of all central schemes with additional focus and monitoring. Faster benefit delivery. Extra funding for agricultural development,niti.gov.in
49,Horticulture Cluster Development Programme (CDP),Horticulture Export,Farmers and exporters in 12 identified horticulture clusters,Must be located in or supply to identified horticulture cluster zones,Ministry of Commerce implements. Farmers supply to export-oriented value chains,Pre- and post-harvest support for export-oriented horticulture. Cluster development management units. Market linkage to global buyers,apeda.gov.in/cdp
50,Unified Package Insurance Scheme (UPIS),Comprehensive Insurance,Farmers in select pilot states who have crops and assets to insure,Must own insured assets,Pilot states only. Bundles multiple insurance products,Combined insurance package covering crop life accident tractor student scholarship and household assets under one scheme and one premium,agri-insurance.com
51,National Crop Insurance Portal (NCIP),Crop Insurance,All PMFBY and RWBCIS beneficiary farmers,Insured crop must be in notified area,Digital integration with bank records,Centralized portal for crop insurance enrolment claim status tracking and grievance redressal. Online claim lodging,ncip.nic.in
52,MGNREGA Farm Asset Creation,Rural Employment,Rural farmer households with MGNREGA job cards,No minimum land. Must have job card,Farmer must demand work through Gram Panchayat. Work must be on own land for individual assets,100 days wage employment guaranteed. Farm assets created include bunds farm ponds land levelling wells trenches for on-farm use,nrega.nic.in
53,Watershed Development Component of PMKSY,Watershed,Farmers in degraded and rainfed watershed areas treated under scheme,Land within notified watershed treatment area,Implemented in identified degraded watersheds across the country,Soil and water conservation through bunding check dams and trenching. Increased moisture in soil. Better yields in rainfed areas,dolr.gov.in
54,Sub-Mission on Agro-Forestry (SMAF),Agro-Forestry,Farmers who want to plant trees on farm bunds and boundaries,Agricultural land required. Trees planted on boundaries or intercrops,Trees must be compatible with crops grown below them,Financial assistance for planting trees on farmland. Increases farm income through timber and non-timber forest produce along with crops,agricoop.gov.in
55,Rainfed Area Development Programme (RAD),Rainfed Farming,Farmers in rainfed districts with integrated farming systems,Located in identified rainfed districts,Implemented in 25 states. Cluster approach with groups of farmers,Integrated farming system approach: crop plus horticulture plus livestock plus fishery. Reduces risk from rainfall variability,dac.gov.in
56,Pradhan Mantri Annadata Aay Sanrakshan Abhiyan (PM-AASHA),Price Support,Farmers growing oilseeds pulses and copra facing market price below MSP,Farmer must be growing notified crop in participating state,Procurement or price deficiency payment when market price falls below MSP,Three components: procurement at MSP through agencies price deficiency payment to farmer bank account or private procurement and stockist scheme,dac.gov.in
57,e-Rashtriya Kisan Agri Mandi (eRKAM),Market Access,Farmers wishing to sell produce online beyond local mandi,No specific land condition. Produce must meet quality specifications,Must register and list produce on platform,Online agri commerce platform enabling farmers to sell directly to buyers. Reduces middlemen and increases farmer price realization,dac.gov.in
58,Paramparagat Krishi Vikas Yojana Bharat Organic,Organic Certification,Farmer clusters applying for organic certification under PKVY,Cluster of minimum 50 farmers covering 50 acres,Farmers must commit to 3-year conversion period. No synthetic inputs allowed during conversion,Organic certification support under PGS India system. Rs 50000 per hectare over 3 years for organic inputs and certification,pgsindia-ncof.gov.in
59,National Project on Organic Farming (NPOF),Organic Inputs,Farmers interested in organic farming and compost production,No minimum area,Training and awareness creation across all states,Technical capacity building for organic input production. Vermicompost production support. Biofertilizer distribution,ncof.dac.gov.in
60,Mission Organic Value Chain Development for North East India (MOVCDNER),Organic Farming,Farmers in 8 northeastern states growing organic produce,Located in northeastern states: Assam Sikkim Meghalaya Manipur Mizoram Nagaland Tripura Arunachal Pradesh,Must form farmer groups and adopt organic practices,Rs 32500 per hectare assistance over 3 years. FPO formation support. Processing and marketing infrastructure for organic NE produce,dac.gov.in
61,Honey Mission under NBHM,Beekeeping,Individual beekeepers farmers SHGs and cooperatives across India,No land requirement. Must have space for beehives,Beginner and experienced beekeepers both eligible. Training mandatory before subsidy,Subsidised supply of bee colonies and hive boxes. Training on honey extraction and certification. Market linkage through NAFED and cooperatives,nbhm.da.gov.in
62,Micro Irrigation Fund under NABARD,Irrigation Finance,Farmers in states accessing NABARD micro-irrigation fund,Same as PMKSY beneficiaries in those states,States approach NABARD for fund. Farmers get extra subsidy top-up on their drip/sprinkler systems,Additional financial support beyond PMKSY baseline to bridge gap in farmer contribution. Makes micro-irrigation effectively free for small farmers in some states,nabard.org/mif
63,National Medicinal Plants Board (NMPB) Scheme,Medicinal Plants,Farmers interested in cultivating medicinal and aromatic plants,Agricultural land suitable for medicinal plants,Must grow notified medicinal plants recommended for region,Financial assistance for cultivation of medicinal plants under-utilized varieties. Linkage to pharmaceutical and herbal industry buyers,nmpb.nic.in
64,Coconut Palm Insurance Scheme (CPIS),Plantation Insurance,Coconut farmers in major coconut growing states,Must own coconut palms aged 4 to 60 years,State-specific: Kerala Tamil Nadu Karnataka Andhra Pradesh and others,Insurance coverage for death or damage of coconut palms due to natural calamities or disease. Premium shared between farmer and government,coconutboard.gov.in
65,Coconut Development Board Schemes,Plantation Development,Coconut farmers in all coconut growing states,Must own coconut palms or land suitable for cultivation,Implemented through state coconut development departments,Subsidy on planting of improved varieties. Drip irrigation support. Intercropping assistance. Coconut processing unit support,coconutboard.gov.in
66,Coffee Development Schemes (Coffee Board),Plantation,Coffee growers in Karnataka Kerala Tamil Nadu Andhra Pradesh and NE states,Must own land under coffee cultivation,Registered with Coffee Board of India,Replanting subsidy. Quality improvement through new processing equipment. Export promotion. Price stabilization through price pooling,indiacoffee.org
67,Rubber Development Scheme (Rubber Board),Plantation,Rubber growers in Kerala Karnataka Tamil Nadu and NE states,Must own rubber plantation land,Registered with Rubber Board. Replanting and new planting eligible,Replanting subsidy for old rubber trees. New planting financial assistance. Rubber cultivation in NE states with higher subsidy,rubberboard.org.in
68,Tea Development Scheme (Tea Board),Plantation,Tea growers in Assam West Bengal Tamil Nadu Kerala Himachal Pradesh,Must have registered tea estate or small tea garden,Registered with Tea Board of India,Replanting and rejuvenation of old tea bushes. Infrastructure for tea processing. Quality certification support,teaboard.gov.in
69,Spices Development Scheme (Spices Board),Spice Farming,Spice growers across India especially in Kerala Karnataka Andhra Pradesh,Must grow notified spices like pepper cardamom turmeric ginger clove,Registered with Spices Board for export support,Crop development support. Organic spice certification. Quality testing facilities. Export market development assistance,indianspices.com
70,Cashew Development Scheme (DCCD),Plantation,Cashew farmers in Goa Maharashtra Kerala Karnataka Andhra Pradesh and Odisha,Must own cashew orchard land,State agriculture departments implement,Replanting of old orchards with high-yielding varieties. Processing infrastructure support. Promotion of cashew apple value addition,cashewboard.gov.in
71,Oil Palm Development Programme,Oilseed,Farmers in 15 states identified for oil palm including Andhra Pradesh Telangana Odisha and NE states,Agricultural land in identified districts,Must commit to oil palm cultivation. Assured purchase of Fresh Fruit Bunches by mills,Planting subsidy up to Rs 29000 per hectare plus annual maintenance subsidy for 4 years. Price assurance above market for FFBs,nmeo.gov.in
72,National Watershed Development Project for Rainfed Areas (NWDPRA),Watershed,Farmers in rainfed watershed areas in 25 states,Land must fall within notified watershed treatment area,Implemented in village clusters. Community participation mandatory,Soil and moisture conservation structures. Farm bunds. Drainage line treatment. Community land development. Livelihood support,dolr.gov.in
73,Pradhan Mantri Krishi Sinchayee Yojana Accelerated Irrigation Benefits Programme (AIBP),Irrigation Infrastructure,Farmers in command areas of ongoing and new irrigation projects,Land must fall in command area of project,State governments identify command areas. Farmers benefit from completed irrigation infrastructure,Completion of long-pending irrigation projects. Field channel development. Water user association formation for equitable water distribution,jal.gov.in
74,Agricultural Census Scheme,Data and Planning,All farmers mandatorily covered for data collection,All operational holdings surveyed,No application needed. Government surveys all farmers,Regular agriculture census to identify farmer numbers land use pattern. Data used for policy and scheme targeting of subsidies to correct beneficiaries,agcensus.nic.in
75,Crop Diversification Programme,Crop Shift,Farmers in rice wheat dominant areas wanting to diversify,Located in identified rice wheat surplus states like Punjab Haryana UP,Must shift from paddy to alternate crops like maize oilseeds pulses vegetables,Financial incentive for shifting from water-intensive paddy. Subsidy on seeds inputs and market support for alternate crops grown,dac.gov.in
76,National Food Security Mission Coarse Cereals,Crop Productivity,Farmers growing jowar bajra ragi maize barley in identified districts,Must cultivate in identified low productivity districts,State agriculture departments identify beneficiaries in notified blocks,Subsidised quality seeds of improved varieties. Demonstrations. Nutrient management. Farm implements. Training for productivity enhancement of coarse cereals,nfsm.gov.in
77,National Food Security Mission Oilseeds and Oil Palm,Crop Productivity,Farmers growing groundnut mustard soybean sunflower sesame in identified districts,Must farm in identified low productivity districts,Implemented in 30 states in identified blocks with low oilseed productivity,Subsidised certified seeds. Demonstrations of improved varieties. Soil amelioration. Integrated pest management. Farm implements for oilseed farmers,nfsm.gov.in
78,National Food Security Mission Commercial Crops Cotton and Jute,Crop Productivity,Farmers growing cotton and jute in identified states,Must cultivate in identified cotton and jute growing districts,Implemented in 9 states for cotton and 7 states for jute,Hybrid cotton seed distribution. Jute variety replacement. Farm equipment. Integrated pest management. Demonstration plots for productivity,nfsm.gov.in
79,Integrated Scheme for Agricultural Marketing (ISAM),Market Infrastructure,Farmers farmer groups cooperatives state agencies creating rural market infrastructure,No individual land requirement. Infrastructure creation expected,State governments and agencies apply for funding. Farmers benefit from improved market access,Grants for rural primary markets rural godowns grading units and market intelligence dissemination. Price discovery support,dac.gov.in
80,Price Stabilization Fund (PSF),Price Management,Farmers and consumers affected by sharp price volatility in essential commodities,No direct application by farmer. Government activates on price triggers,Government intervenes when prices of pulses onion potatoes edible oils deviate sharply,Buffer stock creation. Import when prices rise. Sell from buffer when prices rise. Prevents distress selling and consumer price shock,dac.gov.in
81,Central Sector Scheme of Financing Facilities under Agriculture Infrastructure Fund (AIF extended),Infrastructure Loan,Farmers FPOs PACS dairy cooperatives fishery cooperatives and agri entrepreneurs,No specific land requirement. Project must be agriculture-related,Loan from bank or NBFC. Interest subvention and credit guarantee provided by government,3% interest subvention on loans from Rs 2 crore. Upto Rs 2 crore with credit guarantee of 25%. Multiple projects per beneficiary allowed,agriinfra.dac.gov.in
82,Formation and Promotion of 10000 FPOs,Farmer Collectives,Small and marginal farmers forming or joining an FPO,Minimum 100 member farmers in plains. Minimum 50 in NE and hilly areas,Must register FPO as producer company or cooperative,Rs 15 lakh equity grant per FPO over 3 years. Rs 18 lakh for professional Cluster Based Business Organisation support. Credit guarantee,sfac.in/fpo
83,Pradhan Mantri Annadata Aay Sanrakshan Abhiyan Price Deficiency Payment (PDPS),Price Protection,Farmers growing oilseeds pulses and copra when market price falls below MSP,Must sell through registered trader in state government notified market,State must have registered the farmer before procurement season,Difference between MSP and actual market price paid directly to farmer bank account. No physical procurement needed from farmer,dac.gov.in
84,Livestock Health and Disease Control Programme (LH&DCP),Animal Health,All livestock and poultry farmers across India,No land or herd size requirement,Implemented through state animal husbandry departments,Free vaccination against FMD PPR brucellosis and classical swine fever. Disease surveillance. Compensation for culled animals in outbreak,dahd.gov.in
85,National Animal Disease Control Programme (NADCP),Animal Health,Cattle buffalo sheep goat and pig farmers across India,No herd size minimum,Universal coverage target. 100% vaccination of cattle and buffalo targeted,Free vaccination and ear tagging of all cattle and buffalo against Foot and Mouth Disease and Brucellosis. Eliminates disease reduces loss,dahd.gov.in
86,Pradhan Mantri Matsya Kisan Samridhi Saha-Yojana (PM-MKSSS),Fisheries Formalization,Small and micro fisheries enterprises fish farmers and fish vendors,No specific asset size,Must formalize their enterprise with digital registration,One-time incentive for formalization. Working capital and MSME credit access. Insurance for fish workers. Progressive credit guarantee,dof.gov.in
87,Blue Revolution Integrated Development and Management of Fisheries,Fisheries Development,Marine and inland fishermen aquaculture farmers fish processing units,No minimum holding for marine fishermen,Implemented through states. Priority to small fishermen and women fish vendors,Fish farm development. Fishing vessel modernization. Processing and cold chain. Fish market infrastructure. Training for fishermen,dof.gov.in
88,National Bamboo Mission Cluster Development,Bamboo Value Chain,Farmers artisans entrepreneurs in bamboo growing states,Must have or be near bamboo cultivation area,Implemented in 23 states. Includes NE states with priority,Support for bamboo plantation nursery processing agglomeration centres and handicraft clusters. Rs 3500 per farmer for plantation material,nbm.nic.in
89,MFOI Scheme (Meri Fasal Mera Byora Haryana State),Registration,All farmers in Haryana state only,Must own or lease farmland in Haryana,Haryana state scheme only. Mandatory for subsidy benefits,State portal for crop registration before sowing. Mandatory for availing input subsidies. Links to PM-KISAN and state schemes,haryana.gov.in/mfmb
90,YSR Rythu Bharosa (Andhra Pradesh),Income Support,All farmers including tenant farmers in Andhra Pradesh,Must farm in Andhra Pradesh. Tenant farmers also eligible unlike PM-KISAN,State residents only. Aadhaar and land record linking required,Rs 13500 per year per farmer family. Covers all categories including tenant farmers. Paid in 2 instalments per year,rythubharosa.ap.gov.in
91,Mukhyamantri Krishi Ashirwad Yojana (Jharkhand),Income Support,Small and marginal farmers of Jharkhand with up to 5 acres of land,Must hold up to 5 acres in Jharkhand. Must be state resident,Jharkhand state scheme only. Land must be registered in farmer name,Rs 5000 per acre per year assistance. Maximum benefit for 5 acres is Rs 25000 per year. Direct bank transfer to farmer account,jharkhand.gov.in
92,Bhavantar Bhugtan Yojana (Madhya Pradesh),Price Support,Farmers in Madhya Pradesh growing registered crops when market price falls below MSP,Must register crop before sowing on MP state portal,MP state scheme. Must sell in registered notified mandi. Crops include soybean maize urad moong peanut sesame,Difference between MSP and average modal price paid directly to farmer bank account when crop price falls below MSP,mpkrishi.org
93,KALIA Scheme Krushak Assistance for Livelihood and Income Augmentation (Odisha),Income Support,Small marginal and landless farmers in Odisha. Includes cultivators and landless agricultural labour,Small marginal landless farmers and vulnerable agri-households in Odisha,Odisha state scheme only. Verified beneficiary list,Rs 10000 per year for small and marginal farmers in two instalments. Rs 12500 support for landless labourers for agri activities,kalia.odisha.gov.in
94,Hari Kranti (Haryana),Technology Adoption,Farmers in Haryana adopting modern and precision farming techniques,Must farm in Haryana. No minimum land size,Haryana state farmers only,Financial aid and subsidies for drip irrigation greenhouses precision tools and sustainable farming practices. Training and demonstration support,agriharyana.gov.in
