cohort_id,cohort_type,cohort_name,behaviour_code,behaviour_label,domain_code,domain_label,life_context_code,life_context_label,hpns_bucket,notification_angle,eligibility_relevant,trigger_condition,approach_notes,source_fields_used,refresh_frequency
B1-D3-LC3,Combinatorial,Employed & Working Passive Browser — Agriculture Need,B1,Content Reader,D3,Agriculture,LC3,Employed & Working,A7,"Crop advisory tips and seasonal awareness content, time-efficiency and career-progression framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B1-D3-LC4,Combinatorial,Youth & Job-Seeking Passive Browser — Agriculture Need,B1,Content Reader,D3,Agriculture,LC4,Youth & Job-Seeking,A7,"Crop advisory tips and seasonal awareness content, aspirational, first-step, growth-oriented framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D1-LC1,Combinatorial,Farm & Land-Based Aspiring Job Seeker — Health Need,B3,Job Hunter,D1,Health,LC1,Farm & Land-Based,H1/H2,"Job leads framed around flexible, health-accommodating roles, local, crop-season-aware framing; peer-farmer language.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D1-LC2,Combinatorial,Home & Family-Based Aspiring Job Seeker — Health Need,B3,Job Hunter,D1,Health,LC2,Home & Family-Based,H1/H2,"Job leads framed around flexible, health-accommodating roles, family-benefit framing; flexible, home-compatible options.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D1-LC3,Combinatorial,Employed & Working Aspiring Job Seeker — Health Need,B3,Job Hunter,D1,Health,LC3,Employed & Working,H1/H2,"Job leads framed around flexible, health-accommodating roles, time-efficiency and career-progression framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D1-LC4,Combinatorial,Youth & Job-Seeking Aspiring Job Seeker — Health Need,B3,Job Hunter,D1,Health,LC4,Youth & Job-Seeking,H1/H2,"Job leads framed around flexible, health-accommodating roles, aspirational, first-step, growth-oriented framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D2-LC1,Combinatorial,Farm & Land-Based Aspiring Job Seeker — Skills Need,B3,Job Hunter,D2,Skills,LC1,Farm & Land-Based,S3,"Curated job and training opportunity alerts, local, crop-season-aware framing; peer-farmer language.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D2-LC2,Combinatorial,Home & Family-Based Aspiring Job Seeker — Skills Need,B3,Job Hunter,D2,Skills,LC2,Home & Family-Based,S3,"Curated job and training opportunity alerts, family-benefit framing; flexible, home-compatible options.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D2-LC3,Combinatorial,Employed & Working Aspiring Job Seeker — Skills Need,B3,Job Hunter,D2,Skills,LC3,Employed & Working,S3,"Curated job and training opportunity alerts, time-efficiency and career-progression framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D2-LC4,Combinatorial,Youth & Job-Seeking Aspiring Job Seeker — Skills Need,B3,Job Hunter,D2,Skills,LC4,Youth & Job-Seeking,S3,"Curated job and training opportunity alerts, aspirational, first-step, growth-oriented framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D3-LC1,Combinatorial,Farm & Land-Based Aspiring Job Seeker — Agriculture Need,B3,Job Hunter,D3,Agriculture,LC1,Farm & Land-Based,A2,"Off-farm income or livelihood diversification alerts, local, crop-season-aware framing; peer-farmer language.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D3-LC2,Combinatorial,Home & Family-Based Aspiring Job Seeker — Agriculture Need,B3,Job Hunter,D3,Agriculture,LC2,Home & Family-Based,A2,"Off-farm income or livelihood diversification alerts, family-benefit framing; flexible, home-compatible options.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D3-LC3,Combinatorial,Employed & Working Aspiring Job Seeker — Agriculture Need,B3,Job Hunter,D3,Agriculture,LC3,Employed & Working,A2,"Off-farm income or livelihood diversification alerts, time-efficiency and career-progression framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B3-D3-LC4,Combinatorial,Youth & Job-Seeking Aspiring Job Seeker — Agriculture Need,B3,Job Hunter,D3,Agriculture,LC4,Youth & Job-Seeking,A2,"Off-farm income or livelihood diversification alerts, aspirational, first-step, growth-oriented framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D1-LC1,Combinatorial,Farm & Land-Based Benefit Seeker — Health Need,B4,Scheme Seeker,D1,Health,LC1,Farm & Land-Based,H3,"Eligibility-forward: named health scheme, if the user has one eligible, local, crop-season-aware framing; peer-farmer language.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D1-LC2,Combinatorial,Home & Family-Based Benefit Seeker — Health Need,B4,Scheme Seeker,D1,Health,LC2,Home & Family-Based,H3,"Eligibility-forward: named health scheme, if the user has one eligible, family-benefit framing; flexible, home-compatible options.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D1-LC3,Combinatorial,Employed & Working Benefit Seeker — Health Need,B4,Scheme Seeker,D1,Health,LC3,Employed & Working,H3,"Eligibility-forward: named health scheme, if the user has one eligible, time-efficiency and career-progression framing.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D1-LC4,Combinatorial,Youth & Job-Seeking Benefit Seeker — Health Need,B4,Scheme Seeker,D1,Health,LC4,Youth & Job-Seeking,H3,"Eligibility-forward: named health scheme, if the user has one eligible, aspirational, first-step, growth-oriented framing.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D2-LC1,Combinatorial,Farm & Land-Based Benefit Seeker — Skills Need,B4,Scheme Seeker,D2,Skills,LC1,Farm & Land-Based,S4,"Eligibility-forward: named skilling scheme/stipend, if the user has one eligible, local, crop-season-aware framing; peer-farmer language.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D2-LC2,Combinatorial,Home & Family-Based Benefit Seeker — Skills Need,B4,Scheme Seeker,D2,Skills,LC2,Home & Family-Based,S4,"Eligibility-forward: named skilling scheme/stipend, if the user has one eligible, family-benefit framing; flexible, home-compatible options.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D2-LC3,Combinatorial,Employed & Working Benefit Seeker — Skills Need,B4,Scheme Seeker,D2,Skills,LC3,Employed & Working,S4,"Eligibility-forward: named skilling scheme/stipend, if the user has one eligible, time-efficiency and career-progression framing.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D2-LC4,Combinatorial,Youth & Job-Seeking Benefit Seeker — Skills Need,B4,Scheme Seeker,D2,Skills,LC4,Youth & Job-Seeking,S4,"Eligibility-forward: named skilling scheme/stipend, if the user has one eligible, aspirational, first-step, growth-oriented framing.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D3-LC1,Combinatorial,Farm & Land-Based Benefit Seeker — Agriculture Need,B4,Scheme Seeker,D3,Agriculture,LC1,Farm & Land-Based,A6,"Eligibility-forward: named agri subsidy, if the user has one eligible, local, crop-season-aware framing; peer-farmer language.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D3-LC2,Combinatorial,Home & Family-Based Benefit Seeker — Agriculture Need,B4,Scheme Seeker,D3,Agriculture,LC2,Home & Family-Based,A6,"Eligibility-forward: named agri subsidy, if the user has one eligible, family-benefit framing; flexible, home-compatible options.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D3-LC3,Combinatorial,Employed & Working Benefit Seeker — Agriculture Need,B4,Scheme Seeker,D3,Agriculture,LC3,Employed & Working,A6,"Eligibility-forward: named agri subsidy, if the user has one eligible, time-efficiency and career-progression framing.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B4-D3-LC4,Combinatorial,Youth & Job-Seeking Benefit Seeker — Agriculture Need,B4,Scheme Seeker,D3,Agriculture,LC4,Youth & Job-Seeking,A6,"Eligibility-forward: named agri subsidy, if the user has one eligible, aspirational, first-step, growth-oriented framing.",True,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D1-LC1,Combinatorial,Farm & Land-Based Local Service Explorer — Health Need,B5,Service Explorer,D1,Health,LC1,Farm & Land-Based,H2,"Nearby facility or camp alert with distance and cost upfront, local, crop-season-aware framing; peer-farmer language.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D1-LC2,Combinatorial,Home & Family-Based Local Service Explorer — Health Need,B5,Service Explorer,D1,Health,LC2,Home & Family-Based,H2,"Nearby facility or camp alert with distance and cost upfront, family-benefit framing; flexible, home-compatible options.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D1-LC3,Combinatorial,Employed & Working Local Service Explorer — Health Need,B5,Service Explorer,D1,Health,LC3,Employed & Working,H2,"Nearby facility or camp alert with distance and cost upfront, time-efficiency and career-progression framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D1-LC4,Combinatorial,Youth & Job-Seeking Local Service Explorer — Health Need,B5,Service Explorer,D1,Health,LC4,Youth & Job-Seeking,H2,"Nearby facility or camp alert with distance and cost upfront, aspirational, first-step, growth-oriented framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D2-LC1,Combinatorial,Farm & Land-Based Local Service Explorer — Skills Need,B5,Service Explorer,D2,Skills,LC1,Farm & Land-Based,S5,"Nearby training center or gig listing alert, local, crop-season-aware framing; peer-farmer language.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D2-LC2,Combinatorial,Home & Family-Based Local Service Explorer — Skills Need,B5,Service Explorer,D2,Skills,LC2,Home & Family-Based,S5,"Nearby training center or gig listing alert, family-benefit framing; flexible, home-compatible options.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D2-LC3,Combinatorial,Employed & Working Local Service Explorer — Skills Need,B5,Service Explorer,D2,Skills,LC3,Employed & Working,S5,"Nearby training center or gig listing alert, time-efficiency and career-progression framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D2-LC4,Combinatorial,Youth & Job-Seeking Local Service Explorer — Skills Need,B5,Service Explorer,D2,Skills,LC4,Youth & Job-Seeking,S5,"Nearby training center or gig listing alert, aspirational, first-step, growth-oriented framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D3-LC1,Combinatorial,Farm & Land-Based Local Service Explorer — Agriculture Need,B5,Service Explorer,D3,Agriculture,LC1,Farm & Land-Based,A4,"Nearby agri-service, equipment, or advisory center alert, local, crop-season-aware framing; peer-farmer language.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D3-LC2,Combinatorial,Home & Family-Based Local Service Explorer — Agriculture Need,B5,Service Explorer,D3,Agriculture,LC2,Home & Family-Based,A4,"Nearby agri-service, equipment, or advisory center alert, family-benefit framing; flexible, home-compatible options.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D3-LC3,Combinatorial,Employed & Working Local Service Explorer — Agriculture Need,B5,Service Explorer,D3,Agriculture,LC3,Employed & Working,A4,"Nearby agri-service, equipment, or advisory center alert, time-efficiency and career-progression framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
B5-D3-LC4,Combinatorial,Youth & Job-Seeking Local Service Explorer — Agriculture Need,B5,Service Explorer,D3,Agriculture,LC4,Youth & Job-Seeking,A4,"Nearby agri-service, equipment, or advisory center alert, aspirational, first-step, growth-oriented framing.",False,,,primary_category (Behaviour); survey signal or Occupation/age fallback (Domain); Occupation/Working_status (Life-Context),"Behaviour+Life-Context: daily | Domain: sticky, on re-survey only"
X1,Cross-Cutting Overlay,New / Dormant Signup,,,,,,,,,,"All four scores ~0 and minimal engagement_time_min, regardless of primary_category.","Activation sequence — goal is one opened notification and one first in-app action, not a domain pitch.",bpl_category / preferred_language / district / scores+engagement_time_min (varies by overlay),Evaluated per user at send time
X2,Cross-Cutting Overlay,Multi-Domain Achiever,,,,,,,,,,A user shows elevated signals across more than one domain simultaneously.,Rotate domain focus message-by-message; track which one converts.,bpl_category / preferred_language / district / scores+engagement_time_min (varies by overlay),Evaluated per user at send time
X3,Cross-Cutting Overlay,Incomplete-Profile User,,,,,,,,,,"Missing age, Occupation, and Working_status.",Use only Behaviour + notification_tag; keep message generic-safe.,bpl_category / preferred_language / district / scores+engagement_time_min (varies by overlay),Evaluated per user at send time
X4,Cross-Cutting Overlay,Economically Vulnerable Overlay,,,,,,,,,,bpl_category is exactly boolean True.,Prioritise benefit/free-service framing over any paid/optional content.,bpl_category / preferred_language / district / scores+engagement_time_min (varies by overlay),Evaluated per user at send time
X5,Cross-Cutting Overlay,Minority-Language User,,,,,,,,,,preferred_language is NOT exactly one of mr/en/hi.,Keep copy simple; flag for manual localisation QA.,bpl_category / preferred_language / district / scores+engagement_time_min (varies by overlay),Evaluated per user at send time
X6,Cross-Cutting Overlay,Urban-Context User,,,,,,,,,,district exactly matches a supplied metro-district list.,Adjust distance/facility-density assumptions upward from rural default.,bpl_category / preferred_language / district / scores+engagement_time_min (varies by overlay),Evaluated per user at send time
